 ; T0 ; lambdaT ; kStep ; kMax ; Min ; % ; MoySec
7 ; 1 ; 0.970000 ; 1 ; 10 ; 510 ; 2.00% ; 0.000567 
7 ; 1 ; 0.970000 ; 1 ; 100 ; 510 ; 44.00% ; 0.001440 
7 ; 1 ; 0.970000 ; 10 ; 100 ; 510 ; 45.00% ; 0.001329 
7 ; 1 ; 0.970000 ; 1 ; 1000 ; 510 ; 32.00% ; 0.012788 
7 ; 1 ; 0.970000 ; 10 ; 1000 ; 510 ; 36.00% ; 0.012879 
7 ; 1 ; 0.970000 ; 100 ; 1000 ; 510 ; 34.00% ; 0.012858 
7 ; 1 ; 0.970000 ; 1 ; 10000 ; 510 ; 33.00% ; 0.129003 
7 ; 1 ; 0.970000 ; 10 ; 10000 ; 510 ; 50.00% ; 0.127206 
7 ; 1 ; 0.970000 ; 100 ; 10000 ; 510 ; 40.00% ; 0.127306 
7 ; 1 ; 0.970000 ; 1000 ; 10000 ; 510 ; 35.00% ; 0.128032 
7 ; 1 ; 0.970000 ; 1 ; 100000 ; 510 ; 44.00% ; 1.289095 
7 ; 1 ; 0.970000 ; 10 ; 100000 ; 510 ; 38.00% ; 1.288052 
7 ; 1 ; 0.970000 ; 100 ; 100000 ; 510 ; 42.00% ; 1.289120 
7 ; 1 ; 0.970000 ; 1000 ; 100000 ; 510 ; 44.00% ; 1.292988 
7 ; 5 ; 0.970000 ; 1 ; 10 ; 510 ; 1.00% ; 0.000158 
7 ; 5 ; 0.970000 ; 1 ; 100 ; 510 ; 36.00% ; 0.001317 
7 ; 5 ; 0.970000 ; 10 ; 100 ; 510 ; 38.00% ; 0.001300 
7 ; 5 ; 0.970000 ; 1 ; 1000 ; 510 ; 42.00% ; 0.012896 
7 ; 5 ; 0.970000 ; 10 ; 1000 ; 510 ; 38.00% ; 0.012937 
7 ; 5 ; 0.970000 ; 100 ; 1000 ; 510 ; 42.00% ; 0.012862 
7 ; 5 ; 0.970000 ; 1 ; 10000 ; 510 ; 36.00% ; 0.129405 
7 ; 5 ; 0.970000 ; 10 ; 10000 ; 510 ; 36.00% ; 0.129435 
7 ; 5 ; 0.970000 ; 100 ; 10000 ; 510 ; 44.00% ; 0.127486 
7 ; 5 ; 0.970000 ; 1000 ; 10000 ; 510 ; 53.00% ; 0.127476 
7 ; 5 ; 0.970000 ; 1 ; 100000 ; 510 ; 43.00% ; 1.303126 
7 ; 5 ; 0.970000 ; 10 ; 100000 ; 510 ; 38.00% ; 1.292279 
7 ; 5 ; 0.970000 ; 100 ; 100000 ; 510 ; 45.00% ; 1.278643 
7 ; 5 ; 0.970000 ; 1000 ; 100000 ; 510 ; 50.00% ; 1.296727 
7 ; 10 ; 0.970000 ; 1 ; 10 ; 510 ; 2.00% ; 0.000157 
7 ; 10 ; 0.970000 ; 1 ; 100 ; 510 ; 42.00% ; 0.001318 
7 ; 10 ; 0.970000 ; 10 ; 100 ; 510 ; 35.00% ; 0.001312 
7 ; 10 ; 0.970000 ; 1 ; 1000 ; 510 ; 40.00% ; 0.012861 
7 ; 10 ; 0.970000 ; 10 ; 1000 ; 510 ; 37.00% ; 0.013128 
7 ; 10 ; 0.970000 ; 100 ; 1000 ; 510 ; 51.00% ; 0.012895 
7 ; 10 ; 0.970000 ; 1 ; 10000 ; 510 ; 45.00% ; 0.129045 
7 ; 10 ; 0.970000 ; 10 ; 10000 ; 510 ; 44.00% ; 0.129753 
7 ; 10 ; 0.970000 ; 100 ; 10000 ; 510 ; 45.00% ; 0.128888 
7 ; 10 ; 0.970000 ; 1000 ; 10000 ; 510 ; 55.00% ; 0.128812 
7 ; 10 ; 0.970000 ; 1 ; 100000 ; 510 ; 35.00% ; 1.302139 
7 ; 10 ; 0.970000 ; 10 ; 100000 ; 510 ; 49.00% ; 1.284733 
7 ; 10 ; 0.970000 ; 100 ; 100000 ; 510 ; 58.00% ; 1.282963 
7 ; 10 ; 0.970000 ; 1000 ; 100000 ; 510 ; 61.00% ; 1.275662 
